F,zF,LT,VB,qF,y_D,x_B,residual_norm,success
0.8,0.3,2.435661,2.8856610000000003,1.0,0.5329939985039145,0.00043628763782453943,9.195338375896908e-16,True
0.8,0.3,2.435661,3.0459755000000004,1.0,0.3931977876785565,0.0001351290841106373,6.660593720742041e-08,True
0.8,0.3,2.435661,3.20629,1.0,0.3114321553936743,4.549362423580334e-05,1.3735998075099019e-08,True
0.8,0.3,2.435661,3.3666045,1.0,0.25780518969886773,1.6311646338124244e-05,5.549013984683317e-08,True
0.8,0.3,2.435661,3.5269190000000004,1.0,0.21993115950402486,6.162422338516692e-06,4.704892925323086e-08,True
0.8,0.3,2.5439126,2.8856610000000003,1.0,0.7010743688730295,0.0008924251164074459,1.7344779624751855e-08,True
0.8,0.3,2.5439126,3.0459755000000004,1.0,0.47786888141648765,0.00026761455612362296,6.202483032615786e-08,True
0.8,0.3,2.5439126,3.20629,1.0,0.3623130880528981,8.896951934962869e-05,5.4800888637444974e-08,True
0.8,0.3,2.5439126,3.3666045,1.0,0.2917261186308741,3.170673522857292e-05,1.4656400361944614e-09,True
0.8,0.3,2.5439126,3.5269190000000004,1.0,0.24415121239095341,1.1940784567976293e-05,1.557728124268465e-08,True
0.8,0.3,2.6521642000000005,2.8856610000000003,1.0,0.9976131052259,0.012463358179084314,5.138327634540195e-14,True
0.8,0.3,2.6521642000000005,3.0459755000000004,1.0,0.6088861344762463,0.0005262574511175544,1.3497244277254667e-15,True
0.8,0.3,2.6521642000000005,3.20629,1.0,0.43303859063857386,0.0001714176529342209,1.1859348217974503e-08,True
0.8,0.3,2.6521642000000005,3.3666045,1.0,0.3359200483880965,6.054753475061555e-05,3.372332457348906e-09,True
0.8,0.3,2.6521642000000005,3.5269190000000004,1.0,0.27436467762575106,2.2698978772995326e-05,2.4695732448487748e-08,True
0.8,0.3,2.7604158,2.8856610000000003,1.0,0.9994909366041138,0.1701633804558785,3.166831300749443e-15,True
0.8,0.3,2.7604158,3.0459755000000004,1.0,0.8385572719566101,0.0010532553286583242,1.7763568394002505e-15,True
0.8,0.3,2.7604158,3.20629,1.0,0.5380087681310919,0.0003269116436191759,2.3362385877053682e-08,True
0.8,0.3,2.7604158,3.3666045,1.0,0.39587993829317375,0.0001138850239732898,1.3339171131315327e-08,True
